# Momemtum(GeV/c) Total_Energy(GeV) Kinetic_Energy(GeV) Range(m)
639132.762147 639132.762147 639132.656447 6017.172999
671089.400254 671089.400254 671089.294554 6057.473999
704643.870267 704643.870267 704643.764567 6097.773999
739876.063780 739876.063780 739875.958080 6138.076999
776869.866969 776869.866969 776869.761269 6178.381999
815713.360318 815713.360318 815713.254618 6218.691999
856499.028333 856499.028333 856498.922633 6259.003999
899323.979750 899323.979750 899323.874050 6299.318999
944290.178738 944290.178738 944290.073038 6339.635999
991504.687674 991504.687674 991504.581974 6379.949999
